Customer ID,Age,Gender,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Churn
1,55,Male,Clothing,53,Kentucky,Winter,3.1,Yes,Express,Yes,14,Venmo,0
2,19,Male,Clothing,64,Maine,Winter,3.1,Yes,Express,Yes,2,Cash,0
3,50,Male,Clothing,73,Massachusetts,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,0
4,21,Male,Footwear,90,Rhode Island,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,0
5,45,Male,Clothing,49,Oregon,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,1
6,46,Male,Footwear,20,Wyoming,Summer,2.9,Yes,Standard,Yes,14,Venmo,0
7,63,Male,Clothing,85,Montana,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,1
8,27,Male,Clothing,34,Louisiana,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,0
9,26,Male,Outerwear,97,West Virginia,Summer,2.6,Yes,Express,Yes,8,Venmo,1
10,57,Male,Accessories,31,Missouri,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,1
11,53,Male,Footwear,34,Arkansas,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,0
12,30,Male,Clothing,68,Hawaii,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,0
13,61,Male,Outerwear,72,Delaware,Winter,4.5,Yes,Express,Yes,37,Venmo,0
15,64,Male,Outerwear,53,New York,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,0
16,64,Male,Clothing,81,Rhode Island,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,0
17,25,Male,Accessories,36,Alabama,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,0
18,53,Male,Clothing,38,Mississippi,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,1
19,52,Male,Clothing,48,Montana,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,0
21,21,Male,Clothing,51,Louisiana,Winter,2.8,Yes,Express,Yes,50,Cash,0
22,31,Male,Clothing,62,North Carolina,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,1
23,56,Male,Clothing,37,California,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,1
24,31,Male,Clothing,88,Oklahoma,Winter,4.4,Yes,Express,Yes,40,Credit Card,0
25,18,Male,Outerwear,22,Florida,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,0
26,18,Male,Clothing,25,Texas,Summer,3.6,Yes,Express,Yes,14,PayPal,1
27,38,Male,Accessories,20,Nevada,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,1
28,56,Male,Clothing,56,Kentucky,Summer,5,Yes,Next Day Air,Yes,7,Bank Transfer,0
29,54,Male,Accessories,94,North Carolina,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,0
30,31,Male,Clothing,48,Wyoming,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,0
31,57,Male,Accessories,31,North Carolina,Winter,4.7,Yes,Standard,Yes,16,Credit Card,0
32,33,Male,Clothing,79,West Virginia,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,0
33,36,Male,Outerwear,67,Kansas,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,1
34,54,Male,Clothing,38,Colorado,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,1
35,36,Male,Clothing,91,North Dakota,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,1
37,35,Male,Clothing,69,Illinois,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,0
39,29,Male,Clothing,37,Florida,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,0
40,70,Male,Clothing,60,Arizona,Summer,4.2,Yes,Express,Yes,18,Credit Card,0
41,69,Male,Accessories,76,Louisiana,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,1
42,67,Male,Accessories,39,Alaska,Spring,4.5,Yes,Standard,Yes,40,Venmo,1
43,20,Male,Outerwear,100,Tennessee,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,1
45,39,Male,Accessories,53,Kentucky,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,0
46,50,Male,Clothing,21,Tennessee,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,1
47,57,Male,Clothing,43,California,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,1
48,55,Male,Accessories,54,Montana,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,0
49,42,Male,Clothing,55,Nevada,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,0
50,68,Male,Clothing,30,New Jersey,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,0
51,49,Male,Clothing,28,Maryland,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,0
52,59,Male,Clothing,59,Vermont,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,1
53,42,Male,Clothing,20,Alaska,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,0
54,29,Male,Clothing,24,Mississippi,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,0
55,47,Male,Outerwear,94,New Mexico,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,0
56,40,Male,Outerwear,28,South Carolina,Winter,3,Yes,2-Day Shipping,Yes,49,Credit Card,1
57,41,Male,Accessories,73,Mississippi,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,0
58,21,Male,Outerwear,64,West Virginia,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,0
59,69,Male,Clothing,54,Missouri,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,0
60,63,Male,Accessories,79,Louisiana,Spring,4.6,Yes,Standard,Yes,4,Debit Card,0
61,50,Male,Clothing,37,Idaho,Summer,4,Yes,Express,Yes,17,Cash,0
62,55,Male,Accessories,68,Texas,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,0
